newsId,isFake,words,uppercases,questions,exclamations,authors,citations,firstperson,secondperson,thirdperson,sentencelength,repetitiveness,authorHits,sentiment
132,0,460,0.026,0,0,2,1,0.02174,0.00000,0.03261,14.38,0.520,425,-0.76471
133,0,1480,0.028,1,2,1,1,0.00473,0.00405,0.05405,18.97,0.486,20500,-0.67188
134,0,319,0.024,0,1,0,8,0.01881,0.00627,0.05956,15.95,0.636,0,-0.41176
135,0,442,0.048,0,0,1,1,0.01357,0.02715,0.02941,14.73,0.624,3680,-0.77778
136,1,275,0.059,0,0,0,1,0.00364,0.00727,0.01091,15.28,0.567,0,-0.16667
137,1,775,0.024,0,0,0,1,0.02065,0.05161,0.04645,17.22,0.577,0,-0.41463
138,1,227,0.033,1,0,0,1,0.00441,0.00000,0.00881,14.19,0.678,0,-0.50000
139,1,344,0.034,2,0,0,1,0.01453,0.00581,0.04942,19.11,0.602,0,-0.57143
140,1,252,0.039,0,0,0,1,0.02381,0.00000,0.07143,16.80,0.663,0,-0.26667
141,0,2345,0.037,0,0,1,1,0.00597,0.00768,0.05416,13.17,0.505,10500,-0.55462
142,0,1238,0.020,0,0,1,1,0.00808,0.00808,0.01696,30.20,0.521,1830,-0.67568
143,0,904,0.018,0,0,1,1,0.03761,0.01106,0.03429,29.16,0.517,12500,-0.83871
144,0,940,0.014,2,0,1,1,0.01170,0.00638,0.01809,23.50,0.530,9410,-0.67568
145,0,216,0.044,0,0,1,3,0.00463,0.00000,0.03704,19.64,0.704,1050000,-0.80000
146,1,203,0.043,2,0,0,1,0.01970,0.02956,0.03941,13.53,0.670,0,-0.60000
147,1,199,0.052,0,0,0,1,0.00503,0.01005,0.03015,33.17,0.774,0,-1.00000
148,1,134,0.044,0,0,0,1,0.04478,0.00000,0.01493,14.89,0.649,0,-0.88889
149,1,91,0.034,0,0,0,1,0.00000,0.00000,0.02198,15.17,0.758,0,-0.33333
150,1,148,0.035,0,0,0,1,0.00676,0.00000,0.02027,14.80,0.622,0,-0.57143
151,0,386,0.025,0,0,1,1,0.01036,0.00518,0.02850,25.73,0.635,18100,-0.84615
152,0,327,0.032,0,0,1,14,0.00306,0.00612,0.02446,25.15,0.630,16,-0.70000
153,0,1309,0.032,2,0,1,1,0.00076,0.00000,0.02139,16.57,0.490,10400,-0.97561
154,0,674,0.040,0,0,1,1,0.01335,0.00000,0.03264,13.48,0.586,3520,-0.70270
155,0,890,0.039,0,0,1,1,0.00899,0.00225,0.03483,16.48,0.563,18700,-0.60976
156,0,459,0.028,2,0,1,1,0.03268,0.01743,0.01961,22.95,0.630,14200,-0.45000
157,0,774,0.026,0,0,1,1,0.00388,0.00000,0.01163,22.76,0.563,10000,-0.96154
158,0,835,0.038,0,3,1,1,0.00838,0.00000,0.02874,17.40,0.546,47,-0.46154
159,0,786,0.044,0,2,1,10,0.01908,0.00254,0.02290,13.79,0.556,14600,-0.52778
160,0,587,0.029,0,0,1,2,0.01363,0.00341,0.02385,15.45,0.533,10300,-0.66667
161,0,465,0.032,0,0,2,7,0.02796,0.00000,0.03871,12.92,0.591,6750,-0.53333
162,0,216,0.045,0,0,1,5,0.01389,0.00926,0.02315,12.00,0.667,2860,-0.72727
163,0,1496,0.026,3,0,2,30,0.00936,0.01070,0.03075,12.68,0.520,39,-0.46429
164,0,666,0.035,0,0,2,1,0.00000,0.00000,0.02703,18.50,0.545,1075,-0.58333
165,1,192,0.019,0,0,1,1,0.04167,0.03125,0.06250,17.45,0.792,219000,-0.50000
166,1,125,0.300,0,2,0,1,0.02400,0.06400,0.00800,25.00,0.792,0,-1.00000
167,1,198,0.023,0,0,1,1,0.09596,0.00000,0.05051,16.50,0.667,219000,-0.33333
168,1,1671,0.024,3,1,1,1,0.03890,0.00598,0.02454,25.32,0.467,1420000,-0.57813
169,1,721,0.022,0,0,0,1,0.03883,0.00277,0.03190,15.67,0.488,0,-0.60976
170,1,300,0.039,0,0,0,1,0.01000,0.00000,0.03667,30.00,0.613,0,-1.10000
